RSSI_Antenna_1,RSSI_Antenna_2,RSSI_Antenna_3,RSSI_Antenna_4,RSSI_Antenna_5,RSSI_Antenna_6,RSSI_Antenna_7,RSSI_Antenna_8,RSSI_Antenna_9,RSSI_Antenna_10,AssetPoint_Longitude,AssetPoint_Latitude
-58.21,-170,-63.89,-73.99,-74.98,-170,-170,-74.56,-170,-170,-8.65957036,40.63101372
-58.22,-170,-62.9,-74.22,-74.97,-170,-170,-74.57,-170,-170,-8.65957036,40.63101372
-58.21,-170,-63.88,-74.59,-74.96,-170,-170,-74.53,-170,-170,-8.65957036,40.63101372
-58.24,-170,-63.81,-74.58,-74.92,-170,-170,-74.56,-170,-170,-8.65957252,40.63101257
-58.32,-170,-63.77,-74.5,-74.8,-170,-170,-74.28,-170,-170,-8.65957414,40.63101473
-58.13,-170,-63.4,-74.38,-76.87,-170,-170,-74.45,-170,-170,-8.65957577,40.63101782
-58.06,-170,-63.45,-74.41,-76.81,-170,-170,-74.38,-170,-170,-8.6595774,40.63102121
-57.97,-170,-63.2,-74.31,-74.62,-170,-170,-74.28,-170,-170,-8.65958065,40.63102553
-58.05,-170,-62.22,-74.19,-74.67,-170,-170,-74.11,-170,-170,-8.6595843,40.63102707
-58.32,-170,-62.64,-74.16,-74.39,-170,-170,-74.11,-170,-170,-8.65959121,40.63102953
-58.38,-60.16,-62.63,-74.08,-74.47,-170,-170,-73.95,-170,-170,-8.65959487,40.63103231
-58.47,-60.2,-62.36,-73.97,-74.33,-170,-170,-73.92,-170,-170,-8.65960055,40.6310357
-58.49,-60.35,-62.15,-73.59,-72.31,-170,-170,-73.87,-170,-170,-8.65960258,40.63103848
-58.49,-60.16,-62.06,-73.85,-72.31,-170,-170,-73.86,-170,-170,-8.65960258,40.63103848
-58.65,-59.98,-61.95,-75.81,-72.13,-170,-170,-73.77,-170,-170,-8.65960705,40.63104156
-58.86,-60.54,-61.61,-75.36,-72.82,-170,-170,-73.63,-170,-170,-8.65961315,40.63104526
-58.95,-60.7,-61.36,-75.54,-74.03,-170,-170,-73.54,-170,-170,-8.6596164,40.63104834
-60.61,-61.13,-61.25,-73.5,-73.74,-170,-170,-73.41,-170,-170,-8.65961518,40.63105328
-58.34,-61.4,-61.14,-73.45,-73.98,-170,-170,-73.33,-170,-170,-8.65961234,40.63105913
-58.05,-61.88,-61.1,-75.26,-73.97,-170,-170,-73.32,-170,-170,-8.65961026,40.63106246
-55.25,-62.23,-61.07,-77.37,-73.73,-170,-170,-73.38,-170,-170,-8.65960784,40.63106562
-54.67,-62.44,-61.05,-77.36,-73.99,-170,-170,-73.28,-170,-170,-8.65960452,40.63106832
-55.08,-62.76,-63.18,-79.12,-74.01,-170,-170,-75.39,-170,-170,-8.65959983,40.63107103
-54.6,-63.15,-65.24,-77.26,-76.03,-170,-170,-77.45,-170,-170,-8.65959477,40.63107479
-54.11,-63.35,-63.37,-77.2,-78.12,-170,-170,-77.48,-170,-170,-8.65958981,40.63107647
-53.25,-63.66,-63.46,-170,-76.19,-170,-170,-77.11,-170,-170,-8.65958356,40.63107885
-53.16,-63.84,-63.59,-170,-76.22,-170,-170,-77.54,-170,-170,-8.65957967,40.63108018
-52.61,-66.05,-65.65,-170,-76.27,-170,-170,-77.61,-170,-170,-8.65957465,40.63108188
-51.29,-66.24,-65.84,-170,-76.31,-170,-170,-75.6,-170,-170,-8.659571,40.63108437
-51.95,-66.48,-65.73,-170,-78.3,-170,-170,-75.59,-170,-170,-8.65956928,40.63108746
-51.71,-66.63,-65.83,-170,-78.23,-170,-170,-73.57,-170,-170,-8.65956756,40.63109055
-51.36,-66.96,-67.8,-170,-80.3,-170,-170,-73.56,-170,-170,-8.65956495,40.63109522
-51.03,-67.34,-67.26,-170,-80.31,-170,-170,-73.53,-170,-170,-8.6595618,40.63110086
-50.48,-67.44,-67.8,-170,-78.24,-170,-170,-75.27,-170,-170,-8.65956009,40.63110477
-50.68,-65.56,-67.74,-170,-76.28,-170,-170,-75.42,-170,-170,-8.65955915,40.63110893
-50.78,-66.04,-65.7,-170,-76.2,-170,-170,-76.33,-170,-170,-8.65955685,40.63111308
-49.77,-68.13,-66.01,-170,-76.19,-170,-170,-77.56,-170,-170,-8.65954863,40.63111285
-49.38,-67.92,-66.24,-170,-76.43,-170,-170,-77.62,-170,-170,-8.65954636,40.6311103
-49.47,-67.93,-68.18,-170,-76.4,-170,-170,-75.6,-170,-170,-8.65954834,40.6311068
-49.81,-67.53,-68.18,-170,-78.4,-170,-170,-75.63,-170,-170,-8.65955128,40.63110323
-49.68,-67.54,-68.13,-170,-78.41,-170,-170,-75.42,-170,-170,-8.6595537,40.63110138
-50.84,-67.3,-67.85,-170,-80.21,-170,-170,-73.52,-170,-170,-8.65955997,40.63109921
-51.79,-64.99,-67.56,-170,-80.2,-170,-170,-73.41,-170,-170,-8.65956806,40.63110184
-52.82,-64.87,-67.13,-170,-79.82,-170,-170,-73.28,-170,-170,-8.6595787,40.63110103
-53.34,-64.69,-64.99,-170,-78.01,-170,-170,-75.23,-170,-170,-8.65958503,40.63109714
-53.75,-64.46,-64.9,-170,-77.95,-170,-170,-75.13,-170,-170,-8.65958876,40.63109448
-54.09,-64.25,-64.85,-170,-75.96,-170,-170,-76.83,-170,-170,-8.65959207,40.63109176
-54.35,-63.92,-62.81,-170,-75.94,-170,-170,-76.25,-170,-170,-8.65959458,40.63108892
-54.68,-63.75,-62.75,-77.07,-75.44,-170,-170,-77.21,-170,-170,-8.65959829,40.63108628
-55.02,-63.66,-62.5,-75.05,-75.79,-170,-170,-77.18,-170,-170,-8.65960257,40.63108599
-55.41,-63.33,-64.53,-78.93,-77.7,-170,-170,-77.16,-170,-170,-8.65960711,40.63108188
-55.63,-62.9,-62.48,-77.07,-75.82,-170,-170,-78.91,-170,-170,-8.65960968,40.63107875
-55.75,-62.83,-60.5,-77.14,-73.8,-170,-170,-75.2,-170,-170,-8.65961305,40.63107589
-56.09,-62.64,-60.41,-77.01,-73.76,-170,-170,-73.21,-170,-170,-8.65961434,40.63107417
-56.09,-62.62,-59.29,-77.12,-73.79,-170,-170,-73.2,-170,-170,-8.65961553,40.63107356
-56.31,-61.64,-60.48,-74.65,-73.68,-170,-170,-73.19,-170,-170,-8.65961744,40.63107214
-56.23,-64.27,-60.38,-73.19,-73.74,-170,-170,-73.19,-170,-170,-8.65961945,40.6310697
-56.53,-64.1,-60.47,-73.2,-73.77,-170,-170,-73.21,-170,-170,-8.65962113,40.63106787
-56.97,-63.36,-60.5,-73.2,-73.74,-170,-170,-73.22,-170,-170,-8.65962474,40.63106451
-56.89,-63.56,-60.36,-75.26,-73.65,-170,-170,-73.22,-170,-170,-8.6596267,40.63106286
-57.31,-63.34,-60.51,-75.22,-73.71,-170,-170,-73.22,-170,-170,-8.65962839,40.63106092
-59.59,-63.12,-60.47,-73.22,-73.73,-170,-170,-73.23,-170,-170,-8.65963158,40.63105778
-59.96,-60.81,-60.39,-71.29,-71.68,-170,-170,-73.2,-170,-170,-8.65963694,40.63105538
-60.25,-60.55,-60.35,-71.27,-73.63,-170,-170,-72.99,-170,-170,-8.65964168,40.6310534
-60.43,-60.12,-60.11,-73.3,-73.54,-170,-170,-73.14,-170,-170,-8.6596491,40.63105004
-60.98,-57.94,-59.87,-73.29,-73.23,-170,-170,-73.07,-170,-170,-8.65965303,40.63104847
-61.03,-57.59,-60.2,-73.33,-73.38,-170,-170,-73.11,-170,-170,-8.6596557,40.63104583
-63.43,-57.11,-60.33,-73.13,-77.53,-170,-170,-73.13,-170,-170,-8.65965862,40.6310421
-63.59,-56.95,-60.44,-73.41,-75.5,-170,-170,-74.98,-170,-170,-8.6596606,40.63103951
-63.74,-56.81,-62.4,-73.35,-75.51,-170,-170,-75.17,-170,-170,-8.65966321,40.63103853
-64.1,-58.33,-62.44,-77.36,-77.48,-170,-170,-77.16,-170,-170,-8.65966924,40.63103468
-64.5,-55.79,-62.09,-75.44,-73.37,-170,-170,-77.13,-170,-170,-8.6596763,40.63103156
-64.85,-55.67,-62.35,-75.24,-77.36,-170,-170,-77.08,-170,-170,-8.65968343,40.63102904
-65.08,-55.42,-63.87,-75.43,-79.12,-170,-170,-75.04,-170,-170,-8.65968993,40.63102698
-65.14,-55.46,-64.25,-75.43,-79.16,-170,-170,-75.05,-170,-170,-8.65968993,40.63102698
-63.39,-55.18,-64.39,-77.25,-76.76,-170,-170,-73.04,-170,-170,-8.65969387,40.63102423
-63.37,-54.28,-64.46,-77.48,-81.23,-170,-170,-73.04,-170,-170,-8.65969654,40.63102172
-63.74,-54.51,-64.57,-77.44,-80.92,-170,-170,-75.09,-170,-170,-8.6597003,40.63101859
-64.16,-52.08,-66.71,-79.26,-85.1,-170,-170,-75.1,-170,-170,-8.65970781,40.63101364
-64.34,-51.63,-68.6,-81.62,-85.22,-170,-170,-77.05,-170,-170,-8.65971049,40.63100967
-63.65,-51.61,-66.95,-79.65,-83.31,-170,-170,-73.12,-170,-170,-8.6597001,40.63101172
-63.6,-54.02,-64.66,-77.53,-81.3,-170,-170,-71.88,-170,-170,-8.65969377,40.63101549
-63.25,-54.29,-64.86,-76.56,-79.41,-170,-170,-73.2,-170,-170,-8.65968791,40.63101802
-63.08,-54.55,-64.73,-75.56,-77.43,-170,-170,-74.94,-170,-170,-8.65968356,40.63102035
-62.72,-54.82,-62.36,-75.58,-77.5,-170,-170,-77.17,-170,-170,-8.65967716,40.63102404
-62.06,-57.07,-62.52,-77.48,-75.51,-170,-170,-77.05,-170,-170,-8.65966902,40.6310323
-63.82,-56.73,-62.22,-75.28,-75.42,-170,-170,-75.09,-170,-170,-8.65966771,40.63103974
-61.81,-57.3,-62.02,-73.25,-77.29,-170,-170,-75.03,-170,-170,-8.6596673,40.63104351
-61.6,-57.61,-59.94,-73.12,-75.38,-170,-170,-72.93,-170,-170,-8.65966556,40.63104654
-61.47,-57.87,-59.8,-72.96,-73.37,-170,-170,-72.95,-170,-170,-8.65966324,40.6310499
-59.24,-58.43,-59.48,-73.11,-73.35,-170,-170,-72.92,-170,-170,-8.65966099,40.63105502
-59.19,-58.63,-59.47,-72.88,-75.31,-170,-170,-72.78,-170,-170,-8.65966142,40.63105838
-59.21,-59.03,-59.22,-72.95,-73.22,-170,-170,-72.61,-170,-170,-8.65966293,40.6310615
-59.26,-59.23,-59.03,-72.84,-73.16,-170,-170,-72.72,-170,-170,-8.65966444,40.63106463
-59.38,-61.49,-58.7,-72.77,-73.1,-170,-170,-71.91,-170,-170,-8.65966805,40.63106746
-59.23,-61.68,-58.49,-72.72,-71.0,-170,-170,-72.54,-170,-170,-8.65967127,40.63106985
-59.9,-61.82,-58.02,-72.58,-72.88,-170,-170,-71.6,-170,-170,-8.65967864,40.6310718
-59.96,-63.55,-57.57,-72.4,-72.79,-170,-170,-72.28,-170,-40.69,-8.65968181,40.63107681
-62.54,-64.63,-56.78,-72.12,-72.54,-170,-170,-72.0,-170,-41.61,-8.65969391,40.63108248
-64.66,-63.09,-56.28,-72.04,-72.14,-170,-170,-71.9,-170,-43.35,-8.65969686,40.63108782
-64.91,-63.62,-55.45,-71.84,-72.23,-170,-170,-71.63,-170,-45.37,-8.65970254,40.63109529
-63.2,-64.18,-54.4,-71.63,-72.0,-170,-170,-71.4,-170,-47.64,-8.65971057,40.63110339
-63.51,-64.74,-53.2,-71.39,-71.72,-170,-170,-71.17,-170,-49.35,-8.65971866,40.63111095
-64.11,-65.25,-51.77,-70.69,-71.52,-170,-170,-70.71,-170,-50.95,-8.6597293,40.6311182
-64.38,-63.32,-50.76,-70.95,-71.34,-170,-170,-70.62,-170,-51.7,-8.65973529,40.63112311
-64.65,-64.0,-49.31,-70.69,-71.14,-170,-170,-70.09,-170,-53.05,-8.65974244,40.63113033
-68.97,-66.35,-47.62,-70.47,-70.81,-170,-170,-70.05,-170,-54.0,-8.6597504,40.63113638
-69.19,-68.74,-46.02,-70.25,-70.72,-170,-170,-69.96,-170,-54.79,-8.65975556,40.63114235
-69.63,-69.16,-43.44,-69.86,-70.5,-170,-170,-69.53,-170,-55.71,-8.6597633,40.63114921
-69.76,-69.37,-42.12,-69.84,-70.34,-170,-170,-69.42,-170,-56.13,-8.65976593,40.63115315
-69.88,-69.54,-40.16,-69.63,-70.28,-170,-170,-69.41,-170,-56.43,-8.65977015,40.63115648
-70.22,-71.6,-38.53,-69.68,-70.01,-170,-170,-69.28,-170,-56.73,-8.65978095,40.63115417
-70.52,-69.36,-37.63,-69.37,-69.82,-170,-170,-69.13,-170,-58.82,-8.65978981,40.63115074
-70.6,-67.51,-170,-69.68,-69.66,-60.37,-170,-69.09,-170,-170,-8.65980293,40.63114534
-67.09,-71.44,-170,-69.58,-69.64,-61.15,-170,-68.97,-170,-170,-8.65981189,40.63114032
-65.9,-71.55,-170,-69.76,-67.43,-61.7,-170,-68.93,-170,-170,-8.65982306,40.63113848
-67.94,-73.8,-170,-67.62,-67.09,-64.11,-170,-66.71,-170,-170,-8.65984182,40.63113653
-68.11,-76.22,-170,-67.16,-66.76,-60.48,-170,-66.39,-170,-170,-8.6598511,40.63114294
-68.38,-77.41,-170,-67.17,-66.58,-60.52,-170,-66.23,-170,-170,-8.65985569,40.63114597
-68.33,-76.55,-170,-67.19,-66.42,-60.5,-170,-66.06,-170,-170,-8.6598623,40.63114822
-68.46,-76.7,-170,-67.09,-66.22,-59.21,-48.4,-65.93,-170,-170,-8.65987187,40.6311474
-69.05,-74.99,-170,-67.05,-65.89,-61.23,-48.19,-65.47,-170,-170,-8.65988104,40.63114965
-69.09,-74.91,-170,-66.98,-65.82,-61.45,-47.95,-65.62,-170,-170,-8.65988587,40.63115019
-69.28,-170,-170,-66.95,-65.67,-61.69,-47.64,-65.5,-170,-170,-8.65989297,40.63115035
-69.45,-170,-170,-66.84,-65.45,-60.7,-47.47,-65.38,-170,-170,-8.65989931,40.63115031
-69.56,-170,-170,-66.85,-65.28,-62.09,-47.81,-65.23,-170,-170,-8.65990649,40.63115239
